country_code,country,gdp_per_capita
ZWE,Zimbabwe,1362.29952932396
ZMB,Zambia,1820.71854827391
YEM,"Yemen, Rep.",1378.75002954611
PSE,West Bank and Gaza,3315.29753909282
VIR,Virgin Islands (U.S.),34597.9766940328
VNM,Viet Nam,2359.51736472828
VEN,"Venezuela, RB",12403.1466957582
VUT,Vanuatu,2979.79608084399
UZB,Uzbekistan,2461.97947403595
URY,Uruguay,18335.2594772322
USA,United States,53297.3862901595
GBR,United Kingdom,43419.0352598932
ARE,United Arab Emirates,52023.5170959441
UKR,Ukraine,4129.89697265625
UGA,Uganda,818.285427416713
TUV,Tuvalu,3510.21640142483
TCA,Turks and Caicos Islands,22412.2069354887
TKM,Turkmenistan,6599.64529055481
TUR,Turkiye,12578.1878632
TUN,Tunisia,4369.79345826358
TTO,Trinidad and Tobago,21304.9776454565
TON,Tonga,4219.24670113014
TGO,Togo,826.543259457126
TLS,Timor-Leste,1204.56841532931
THA,Thailand,6018.08244729255
TZA,Tanzania,963.05712890625
TJK,Tajikistan,1028.19704279396
SYR,Syrian Arab Republic,985.892669227054
CHE,Switzerland,87304.3305813557
SWE,Sweden,60844.2767113975
SUR,Suriname,9043.19281529222
SDN,Sudan,1138.62780761719
VCT,St. Vincent and the Grenadines,7072.46737188939
MAF,St. Martin (French part),
LCA,St. Lucia,9577.21733754358
KNA,St. Kitts and Nevis,18580.1301949935
LKA,Sri Lanka,3740.61589348326
ESP,Spain,29228.846559842
SSD,South Sudan,1650.18943353528
ZAF,South Africa,7331.65467384919
SOM,"Somalia, Fed. Rep.",393.398703952979
SLB,Solomon Islands,2161.39573596215
SVN,Slovenia,23236.9655321695
SVK,Slovak Republic,18312.7805149823
SXM,Sint Maarten (Dutch part),28529.7324687053
SGP,Singapore,56967.4257940383
SLE,Sierra Leone,1117.47183075115
SYC,Seychelles,14821.2921476077
SRB,Serbia,7040.41812068781
SEN,Senegal,1379.83196553924
SAU,Saudi Arabia,27865.465604962
STP,Sao Tome and Principe,1382.5757842916
SMR,San Marino,50807.8289138024
WSM,Samoa,4023.5254013825
RWA,Rwanda,704.92421796616
RUS,Russian Federation,15941.4482421875
ROU,Romania,9497.67411615237
QAT,Qatar,103697.008372373
PRI,Puerto Rico (US),28212.0499737431
PRT,Portugal,21676.4859642714
POL,Poland,13621.9023794031
PHL,Philippines,2781.27957677397
PER,Peru,6746.80025696601
PRY,Paraguay,6435.68342733182
PNG,Papua New Guinea,2560.77458976327
PAN,Panama,12273.3225037637
PLW,Palau,12768.9086582049
PAK,Pakistan,1225.4340119198
OMN,Oman,23458.0233840053
NOR,Norway,103553.840134417
MNP,Northern Mariana Islands,14632.8518897608
MKD,North Macedonia,5626.26115664893
NGA,Nigeria,2872.79083379398
NER,Niger,552.103334363117
NIC,Nicaragua,1835.43996363715
NZL,New Zealand,43000.4646849189
NCL,New Caledonia,36671.1566752621
NLD,Netherlands,52602.2860520766
NPL,Nepal,803.269595420477
NRU,Nauru,8974.51886874433
NAM,Namibia,5346.62131149967
MMR,Myanmar,1199.09561597055
MOZ,Mozambique,686.505672517351
MAR,Morocco,3379.7431640625
MNE,Montenegro,7172.92908521143
MNG,Mongolia,4340.14310544449
MCO,Monaco,184940.663804718
MDA,Moldova,3321.04397795719
FSM,"Micronesia, Fed. Sts.",2933.88333441237
MEX,Mexico,11216.800851866
MUS,Mauritius,9764.64413060045
MRT,Mauritania,1934.24103064714
MHL,Marshall Islands,3677.90690791421
MLT,Malta,25415.5566806942
MLI,Mali,903.190452512378
MDV,Maldives,8236.08177944126
MYS,Malaysia,10713.6407638899
MWI,Malawi,496.947368267313
MDG,Madagascar,515.301589361832
MAC,"Macao SAR, China",87069.767003344
LUX,Luxembourg,120000.140729859
LTU,Lithuania,15636.5252586048
LIE,Liechtenstein,172823.607794648
LBY,Libya,11951.7134126011
LBR,Liberia,710.744570927863
LSO,Lesotho,1151.03735837227
LBN,Lebanon,8162.37929361396
LVA,Latvia,14484.4715282132
LAO,Lao PDR,1812.51774424651
KGZ,Kyrgyz Republic,1269.66303464348
KWT,Kuwait,49651.0439709448
XKX,Kosovo,3704.55872781672
KOR,"Korea, Rep.",27179.5170146052
PRK,"Korea, Dem. People's Rep.",
KIR,Kiribati,1772.08718317132
KEN,Kenya,1370.87885214659
KAZ,Kazakhstan,13478.459627612
JOR,Jordan,4311.21916713038
JPN,Japan,40898.6478964744
JAM,Jamaica,5124.21301411137
ITA,Italy,35701.6746002376
ISR,Israel,37034.3161080785
IMN,Isle of Man,83207.6588430451
IRL,Ireland,52619.2123745817
IRQ,Iraq,6650.35282247395
IRN,"Iran, Islamic Rep.",6222.74194840326
IDN,Indonesia,3566.60284506078
IND,India,1432.84397512195
ISL,Iceland,49804.9829978371
HUN,Hungary,13739.4620151401
HKG,"Hong Kong SAR, China",38403.7777145477
HND,Honduras,2081.12843527945
HTI,Haiti,1457.83221179626
GUY,Guyana,5556.91231156932
GNB,Guinea-Bissau,654.304534409417
GIN,Guinea,748.455020824734
GTM,Guatemala,3444.15971264862
GUM,Guam,32530.7593121483
GRD,Grenada,7424.80212287327
GRL,Greenland,47535.4883792376
GRC,Greece,21573.3449762805
GIB,Gibraltar,
GHA,Ghana,2294.79584693743
DEU,Germany,47220.0102098851
GEO,Georgia,4712.00229382665
GMB,"Gambia, The",653.862713272743
GAB,Gabon,9197.70106323947
PYF,French Polynesia,21955.6329264095
FRA,France,42669.1795111893
FIN,Finland,49691.0145200739
FJI,Fiji,4572.44377544245
FRO,Faroe Islands,55758.2083680611
ETH,Ethiopia,484.039833104062
SWZ,Eswatini,3951.12008139006
EST,Estonia,19310.3874900757
ERI,Eritrea,
GNQ,Equatorial Guinea,16304.0713196418
SLV,El Salvador,3582.26694005169
EGY,"Egypt, Arab Rep.",3025.52563552448
ECU,Ecuador,6109.29031510341
DOM,Dominican Republic,6136.59429329301
DMA,Dominica,7822.21797211398
DJI,Djibouti,2075.94498424748
DNK,Denmark,61377.5940590412
CZE,Czechia,20260.4954999375
CYP,Cyprus,27797.45703125
CUW,Curacao,19721.2921646576
CUB,Cuba,6828.36428245396
HRV,Croatia,14136.3967669505
CIV,Cote d'Ivoire,1786.15862031324
CRI,Costa Rica,10803.2401961972
COG,"Congo, Rep.",3697.41705884249
COD,"Congo, Dem. Rep.",431.191528160935
COM,Comoros,1603.32653496691
COL,Colombia,8279.10255642981
CHN,China,7147.03518622344
CHL,Chile,15683.5486369155
CHI,Channel Islands,59304.850854272
TCD,Chad,1304.88742971475
CAF,Central African Republic,364.36696260838
CYM,Cayman Islands,75113.7332398618
CAN,Canada,52638.1187235237
CMR,Cameroon,1575.92882118897
KHM,Cambodia,1305.6600972686
CPV,Cabo Verde,3960.97596791345
BDI,Burundi,234.843045388828
BFA,Burkina Faso,759.762065168498
BGR,Bulgaria,7795.98092108928
BRN,Brunei Darussalam,44003.0644293856
VGB,British Virgin Islands,
BRA,Brazil,12458.8912138813
BWA,Botswana,6666.91219583487
BIH,Bosnia and Herzegovina,5034.56616016469
BOL,Bolivia,2870.02377000756
BTN,Bhutan,2679.95217201538
BMU,Bermuda,101704.40746217
BEN,Benin,1168.92699279226
BLZ,Belize,5950.20299917747
BEL,Belgium,46964.5946777056
BLR,Belarus,7998.0802045456
BRB,Barbados,19308.0091116993
BGD,Bangladesh,958.262989798283
BHR,Bahrain,26989.7601148469
BHS,"Bahamas, The",27642.7419759179
AZE,Azerbaijan,7875.34536661549
AUT,Austria,50305.3545774973
AUS,Australia,68190.7010035651
ABW,Aruba,25813.5767274227
ARM,Armenia,3680.16692158886
ARG,Argentina,12963.675773326
ATG,Antigua and Barbuda,15051.5113587425
AGO,Angola,5057.74787833163
AND,Andorra,42470.3161159692
ASM,American Samoa,11813.5022034589
DZA,Algeria,5979.60138960585
ALB,Albania,4420.23461988353
AFG,Afghanistan,637.087099117099
WLD,World,10744.6203643034
UMC,Upper middle income,7551.70896903369
TSS,Sub-Saharan Africa (IDA & IBRD countries),1860.15512086344
SSA,Sub-Saharan Africa (excluding high income),2014.04142955922
SSF,Sub-Saharan Africa,1860.15512086344
TSA,South Asia (IDA & IBRD),1405.85695515339
SAS,South Asia,1405.85695515339
SST,Small states,11103.7133303959
PRE,Pre-demographic dividend,1773.26342095396
PST,Post-demographic dividend,42602.2415892635
PSS,Pacific island small states,3586.99115235794
OSS,Other small states,11402.9692088116
OED,OECD members,37604.1010576836
INX,Not classified,
NAC,North America,53240.4042117038
MIC,Middle income,4637.49468742645
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",3147.24679176219
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",3148.3641242062
MEA,"Middle East, North Africa, Afghanistan & Pakistan",5852.49197095773
LMC,Lower middle income,1763.7890305701
LIC,Low income,767.544385372142
LMY,Low & middle income,4326.21492686569
LDC,Least developed countries: UN classification,986.62795159005
TLA,Latin America & the Caribbean (IDA & IBRD countries),10420.2573335148
LAC,Latin America & Caribbean (excluding high income),9971.16512159061
LCN,Latin America & Caribbean,10490.1720152148
LTE,Late-demographic dividend,8639.80228437874
IDA,IDA total,1344.91303078657
IDX,IDA only,1003.61549472905
IDB,IDA blend,1968.06178223368
IBT,IDA & IBRD total,4729.04246964317
IBD,IBRD only,5865.32264205042
HIC,High income,38968.5243253254
HPC,Heavily indebted poor countries (HIPC),957.533745929686
FCS,Fragile and conflict affected situations,2273.27217471253
EUU,European Union,34808.0025773528
TEC,Europe & Central Asia (IDA & IBRD countries),10953.7259867092
ECA,Europe & Central Asia (excluding high income),7646.16667724963
ECS,Europe & Central Asia,26177.1096409942
EMU,Euro area,39101.8249052989
TEA,East Asia & Pacific (IDA & IBRD countries),6020.72681041414
EAP,East Asia & Pacific (excluding high income),5952.77111218013
EAS,East Asia & Pacific,9522.66749841489
EAR,Early-demographic dividend,3363.11822444288
CEB,Central Europe and the Baltics,13712.7336488743
CSS,Caribbean small states,14504.715597077
ARB,Arab World,7351.94811264419
AFW,Africa Western and Central,2131.66206746081
AFE,Africa Eastern and Southern,1673.22110186487
